counter,x,y,r
1,194,182,13
2,194,182,13
3,194,182,13
4,196,182,13
5,196,182,14
6,196,182,13
7,196,184,14
8,196,182,13
9,196,182,13
10,196,184,13
11,198,184,14
12,196,184,14
13,198,186,15
14,196,184,13
15,198,186,13
16,198,186,14
17,198,186,14
18,198,186,14
19,198,188,14
20,198,186,14
21,198,188,14
22,200,188,14
23,198,188,13
24,200,188,14
25,200,188,14
26,202,192,15
27,202,192,16
28,202,190,13
29,202,192,14
30,202,192,14
30,512,178,15
31,202,192,14
32,202,192,14
33,202,192,14
34,202,194,14
35,200,194,13
36,200,194,14
37,202,194,14
38,202,194,14
39,202,196,13
41,202,194,14
42,200,192,12
44,200,192,13
45,200,194,14
46,200,194,14
46,514,180,14
47,200,194,13
47,514,180,15
50,200,196,14
52,200,192,12
53,202,194,14
54,202,194,14
55,202,194,14
56,200,192,13
57,202,194,14
58,200,194,13
59,200,194,13
60,202,196,16
60,514,180,14
61,200,192,13
62,190,194,15
63,178,192,14
64,166,188,14
70,108,180,16
71,100,180,14
73,84,180,14
74,76,178,14
75,516,182,17
87,514,184,16
88,514,184,16
98,514,186,15
103,514,186,14
108,148,162,17
113,512,188,13
133,506,186,15
172,618,42,14
193,192,176,13
195,194,176,13
197,194,174,14
199,194,172,14
200,194,172,12
201,196,172,13
202,196,174,14
203,208,172,14
209,274,178,15
213,304,178,13
222,382,184,13
223,392,186,13
228,622,40,15
233,470,196,12
239,622,38,15
240,622,38,15
241,622,38,15
253,508,190,14
255,620,36,16
304,618,32,15
305,618,32,15
316,548,28,16
322,290,312,17
558,466,192,14
577,396,204,13
580,382,208,13
581,376,210,13
582,372,210,13
583,366,212,13
584,364,214,13
596,342,236,14
597,340,240,14
605,504,162,14
609,322,264,13
610,320,266,12
613,6,60,13
614,314,274,13
615,312,276,13
616,310,278,13
617,308,280,13
618,308,282,13
619,306,284,12
621,304,288,13
622,300,288,12
623,298,292,14
624,298,294,13
625,506,188,13
626,508,188,13
630,290,292,13
631,288,292,12
632,288,292,13
633,286,292,14
634,284,292,13
635,284,290,13
636,284,290,13
637,282,290,14
637,514,180,13
638,280,288,13
639,278,288,12
643,272,286,13
644,270,284,13
671,514,176,15
674,392,264,13
681,22,54,16
682,20,48,15
682,484,258,13
683,22,42,13
684,20,38,13
684,480,258,12
685,480,256,13
685,18,32,14
686,480,256,13
686,18,28,13
687,480,256,13
687,18,22,12
688,480,254,13
688,18,16,12
689,482,252,14
690,480,252,13
691,480,252,13
692,480,250,13
704,480,248,13
705,478,246,13
706,478,246,13
707,476,246,13
708,476,246,12
709,476,246,13
710,476,246,13
711,476,246,12
712,474,246,12
713,474,246,13
715,472,246,17
716,472,246,13
717,472,244,13
718,470,242,14
719,468,244,14
731,454,244,13
734,452,246,13
749,466,286,12
750,466,282,13
751,472,282,15
752,470,280,13
753,472,278,13
758,482,276,12
759,482,276,13
760,486,274,14
761,488,274,13
762,486,274,12
763,486,274,12
764,484,272,12
765,484,272,13
766,484,272,13
767,484,270,14
